report_date,utpa
2014-04-01,
2014-04-02,-0.0014142058978229843
2014-04-03,0.017532325974007976
2014-04-04,0.05726423772990377
2014-04-05,0.1918887978976723
2014-04-06,0.42627701246015515
2014-04-07,0.8462000876541014
2014-04-08,1.2340625823125808
2014-04-09,1.3122103132275533
2014-04-10,1.17306397791436
2014-04-11,0.8278138560977448
2014-04-12,0.661994900956072
2014-04-13,0.6951956214194644
2014-04-14,0.8867552942832717
2014-04-15,1.0589432072557752
2014-04-16,0.9975967717759542
2014-04-17,0.8393777330712016
2014-04-18,0.5237918903480141
2014-04-19,0.3545932965831723
2014-04-20,0.23860445920316986
2014-04-21,0.5042726762243964
2014-04-22,0.7113527920471392
2014-04-23,0.9488315704290982
2014-04-24,0.9532633046818798
2014-04-25,0.739477782924115
2014-04-26,0.6362040384674085
2014-04-27,0.7626918356011552
2014-04-28,1.0984002223070433
2014-04-29,1.2184364989487517
2014-04-30,1.3237760176596096
2014-05-01,1.408718934930984
2014-05-02,1.434576733668321
2014-05-03,1.5277305770824166
2014-05-04,1.5910741082708275
2014-05-05,1.589213838546698
2014-05-06,1.5628479389783672
2014-05-07,1.6131450501757465
2014-05-08,1.282725451834207
2014-05-09,0.8433505041742511
2014-05-10,0.6039548542689419
2014-05-11,0.4635080382290369
2014-05-12,0.738754953456739
2014-05-13,0.8257171129248264
2014-05-14,0.9971547361020998
2014-05-15,0.9443976002450106
2014-05-16,0.7053958179557462
2014-05-17,0.5883108195505437
2014-05-18,0.700067828647813
2014-05-19,1.0023342038439669
2014-05-20,1.2202655903886952
2014-05-21,0.9810297931612164
2014-05-22,0.9283488914557583
2014-05-23,0.5962796367547649
2014-05-24,0.42154377796302056
2014-05-25,0.5512317097794959
2014-05-26,0.8538395224391957
2014-05-27,0.8882527385054046
2014-05-28,0.9937421310706622
2014-05-29,0.9830086944544922
2014-05-30,0.697735410921307
2014-05-31,0.5684043280470545
2014-06-01,0.7225321644490308
2014-06-02,0.9809677401366712
2014-06-03,1.424053253464401
2014-06-04,1.5872843962452583
2014-06-05,1.578641190559419
2014-06-06,1.14908203864435
2014-06-07,0.8252223382614055
2014-06-08,0.8496636095517267
2014-06-09,0.805449353621596
2014-06-10,0.7577472832739965
2014-06-11,0.723581019374875
2014-06-12,0.596185274057251
2014-06-13,0.2842690714544065
2014-06-14,0.16874780502546194
2014-06-15,0.22717362638719768
2014-06-16,0.5026214509961414
2014-06-17,0.4079806287208084
2014-06-18,0.5549773406409465
2014-06-19,0.398910669129205
2014-06-20,0.063805627870958
2014-06-21,-0.13458144354882895
2014-06-22,-0.06963497475386493
2014-06-23,0.24787681702606246
2014-06-24,0.504473574016232
2014-06-25,0.711859651259767
2014-06-26,0.7191456678261321
2014-06-27,0.47309156037020306
2014-06-28,0.23207944698682276
2014-06-29,0.3305028071096254
2014-06-30,0.600119041685798
2014-07-01,0.6084608495591686
2014-07-02,0.48565563069304885
2014-07-03,0.2042641967878534
2014-07-04,-0.05850478075648918
2014-07-05,-0.1869810281873664
2014-07-06,-0.11714340915339323
2014-07-07,0.07235324970550312
2014-07-08,0.22752841807754254
2014-07-09,0.4675208021178473
2014-07-10,0.42525709589338906
2014-07-11,0.19394813367301567
2014-07-12,0.06771339616166483
2014-07-13,0.10789416134328919
2014-07-14,0.3261359545136008
2014-07-15,0.5045534068622368
2014-07-16,0.4794369445185736
2014-07-17,0.15734229689496937
2014-07-18,-0.019002410479198317
2014-07-19,-0.15454699556841484
2014-07-20,-0.19089382435895927
2014-07-21,0.035956000598093424
2014-07-22,-0.07033004717536431
2014-07-23,0.10379616378663709
2014-07-24,0.06938899097741419
2014-07-25,-0.16066492590603842
2014-07-26,-0.2284307240703261
2014-07-27,-0.07455207108895634
2014-07-28,0.2057221945786214
2014-07-29,0.10128043462748815
2014-07-30,0.29249205768152253
2014-07-31,0.3706425615062356
