20140901,257865698,300498725
20140902,279249569,344246591
20140903,283113133,346678788
20140904,256433221,306293475
20140905,217892169,253789232
20140906,196299332,228975368
20140907,207703900,250832990
20140908,243218294,303242672
20140909,275785583,347110413
20140910,280640446,349770041
20140911,253988242,309548668
20140912,215814898,257021592
20140913,194748049,232015313
20140914,206436632,253655657
20140915,241777165,305986602
20140916,273844651,349973345
20140917,278251635,352860202
20140918,251541252,312803387
20140919,213742337,260254453
20140920,193198937,235056356
20140921,205164688,256479194
20140922,240327618,308730519
20140923,271897876,352835392
20140924,275863956,355949269
20140925,249101499,316057628
20140926,211677642,263487811
20140927,191652384,238098497
20140928,203888078,259303604
20140929,238869719,311474428
20140930,269945373,355696555
